CLO name,OTT name,OTT parent
Pica pica , Pica pica pica ,776471
Calandrella blanfordi , Calandrella blanfordi blanfordi ,3597512
Calandrella eremica , Calandrella blanfordi eremica ,3597512
Calandrella brachydactyla , Calandrella brachydactyla brachydactyla ,947049
Calandrella dukhunensis , Calandrella brachydactyla dukhunensis ,947049
Eremalauda dunni , Eremalauda dunni dunni ,3597547
Eremalauda eremodites , Eremalauda dunni eremodites ,3597547
Prinia crinigera , Prinia crinigera crinigera ,899111
Prinia striata , Prinia crinigera striata ,899111
Prinia cooki , Prinia polychroa cooki ,3598863
Prinia rocki , Prinia polychroa rocki ,3598863
Prinia polychroa , Prinia polychroa polychroa ,3598863
Acrocephalus luscinius , Acrocephalus luscinius luscinius ,481192
Acrocephalus nijoi , Acrocephalus luscinius nijoi ,481192
Acrocephalus astrolabii , Acrocephalus luscinius astrolabii ,481192
Zosterops flavilateralis , Zosterops abyssinicus flavilateralis ,335475
Zosterops mbuluensis , Zosterops poliogastrus mbuluensis ,388826
Zosterops abyssinicus , Zosterops abyssinicus abyssinicus ,335475
Zosterops socotranus , Zosterops abyssinicus socotranus ,335475
Zosterops stenocricotus , Zosterops senegalensis stenocricotus ,446677
Zosterops poliogastrus , Zosterops poliogastrus poliogastrus ,388826
Zosterops senegalensis , Zosterops senegalensis senegalensis ,446677
Liocichla phoenicea , Liocichla phoenicea phoenicea ,451636
Liocichla ripponi , Liocichla phoenicea ripponi ,451636
Ramphocaenus melanurus , Ramphocaenus melanurus melanurus ,227268
Ramphocaenus sticturus , Ramphocaenus melanurus sticturus ,227268
Catharus dryas , Catharus dryas dryas ,252695
Catharus maculatus , Catharus dryas maculatus ,252695
Turdus ignobilis , Turdus ignobilis ignobilis ,1058855
Turdus arthuri , Turdus ignobilis arthuri ,1058855
Ficedula narcissina , Ficedula narcissina narcissina ,131996
Ficedula owstoni , Ficedula narcissina owstoni ,131996
Oenanthe hispanica , Oenanthe hispanica hispanica ,554159
Oenanthe melanoleuca , Oenanthe hispanica melanoleuca ,554159
Arremon phaeopleurus , Buarremon torquatus phaeopleurus ,1087574
Arremon phygas , Buarremon torquatus phygas ,1087574
Arremon torquatus , Buarremon torquatus torquatus ,1087574
Icterus cayanensis , Icterus cayanensis cayanensis ,839103
Icterus pyrrhopterus , Icterus cayanensis pyrrhopterus ,839103
Paroaria nigrogenis , Paroaria gularis nigrogenis ,320949
Paroaria gularis , Paroaria gularis gularis ,320949
Geospiza septentrionalis , Geospiza difficilis septentrionalis ,419376
Geospiza difficilis , Geospiza difficilis difficilis ,419376
Laniarius poensis , Laniarius poensis poensis , ott515130
